level_0,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,accel-start-time,gyro-start-time,accel-end-time,gyro-end-time,activity code,index,user,serial,csv,timestamp diff,standard activity code
272414,-0.0044518644,-0.006828077,-0.0049567414,0.0014777042,3.358844e-05,0.00036446517,0.014,0.013,0.014,0.013,0,1,1037,1,0.Stand/1037_A_1.csv,0.009000001,1
272415,0.013175113,0.019087425,-0.0035861442,0.0011432077,-0.0123644015,-0.0033040273,0.024,0.024,0.024,0.024,0,2,1037,1,0.Stand/1037_A_1.csv,0.01,1
272416,0.030083865,0.036650047,-0.035450876,-0.0018017897,0.00032608001,-0.0044794064,0.038,0.039,0.038,0.039,0,3,1037,1,0.Stand/1037_A_1.csv,0.013999999,1
272417,-0.00040949843,-0.0019351612,-0.0175468,-0.0017720369,0.02244835,-0.0044586067,0.044,0.043,0.044,0.043,0,4,1037,1,0.Stand/1037_A_1.csv,0.006000001,1
272418,0.026841242,0.02592005,-0.0049603214,0.00737408,0.014922055,-0.0012163733,0.053,0.054,0.053,0.054,0,5,1037,1,0.Stand/1037_A_1.csv,0.009,1
272419,-0.00042182315,-0.017752111,-0.034060813,0.016838081,0.015557538,0.0037282815,0.063,0.064,0.063,0.064,0,6,1037,1,0.Stand/1037_A_1.csv,0.010000002,1
272420,0.018531326,0.054424502,-0.022887152,0.021065056,0.006516056,0.00165777,0.073,0.073,0.073,0.073,0,7,1037,1,0.Stand/1037_A_1.csv,0.009999998,1
272421,-0.0035805898,0.042093158,-0.046231017,0.013257418,0.012870886,-0.0020362802,0.082,0.083,0.082,0.083,0,8,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272422,-0.010562338,0.02683562,0.011272689,0.0043700016,0.0055672,-0.0034720853,0.093,0.093,0.093,0.093,0,9,1037,1,0.Stand/1037_A_1.csv,0.011,1
272423,-0.0077076564,0.006721258,-0.0004095783,-0.0008527044,0.00020519037,-0.0032584835,0.103,0.103,0.103,0.103,0,10,1037,1,0.Stand/1037_A_1.csv,0.009999998,1
272424,0.0020529688,0.0083057955,0.031060936,-0.008001978,-0.001633514,-0.003922053,0.112,0.113,0.112,0.113,0,11,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272425,-0.0118794,-0.0026877522,0.0036304544,-0.007293755,0.0083134,-0.0024247547,0.123,0.122,0.123,0.122,0,12,1037,1,0.Stand/1037_A_1.csv,0.011,1
272426,0.0014615195,-0.015652627,0.044380877,-0.000688473,0.008558753,-0.00057315343,0.132,0.133,0.132,0.133,0,13,1037,1,0.Stand/1037_A_1.csv,0.008999996,1
272427,-0.008262915,-0.01205831,0.023621818,0.0021815053,0.00027263042,0.00011823326,0.15,0.149,0.15,0.149,0,14,1037,1,0.Stand/1037_A_1.csv,0.018000007,1
272428,-0.020657323,-0.024316793,0.015221515,0.0031933426,0.011776906,0.0071981587,0.153,0.152,0.153,0.152,0,15,1037,1,0.Stand/1037_A_1.csv,0.0029999912,1
272429,0.010576914,-0.026343865,0.03742054,0.010547859,0.0072741923,0.00975013,0.162,0.162,0.162,0.162,0,16,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272430,0.027508793,-0.0058543943,-0.03938526,0.012168725,0.0105063915,0.011617641,0.172,0.172,0.172,0.172,0,17,1037,1,0.Stand/1037_A_1.csv,0.010000005,1
272431,-0.040882945,0.014507529,0.032467004,0.009889567,0.014347707,0.011795966,0.181,0.182,0.181,0.182,0,18,1037,1,0.Stand/1037_A_1.csv,0.008999988,1
272432,0.0043023867,0.013712328,-0.013022369,0.002373882,0.004290476,0.008455391,0.192,0.191,0.192,0.191,0,19,1037,1,0.Stand/1037_A_1.csv,0.011000007,1
272433,-0.0063132914,-0.017617399,0.03495487,0.005008929,0.016859706,0.008155406,0.201,0.202,0.201,0.202,0,20,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272434,-0.0030466425,0.008372944,-0.005524108,0.0027215849,0.0069527524,0.0073162606,0.211,0.212,0.211,0.212,0,21,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272435,-0.0034494388,0.018660946,0.019327367,0.0018165933,0.0044164136,0.0051269806,0.221,0.221,0.221,0.221,0,22,1037,1,0.Stand/1037_A_1.csv,0.010000005,1
272436,-0.024216106,0.002301081,-0.0064745704,0.003751238,-0.0006332049,0.0055998974,0.231,0.231,0.231,0.231,0,23,1037,1,0.Stand/1037_A_1.csv,0.010000005,1
272437,0.0035245842,0.007409851,0.015608707,0.00054327404,0.000404778,-0.0028402118,0.241,0.241,0.241,0.241,0,24,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272438,-0.008492973,0.012668449,0.002777754,-0.0029932228,-0.008581921,-0.0032605147,0.258,0.258,0.258,0.258,0,25,1037,1,0.Stand/1037_A_1.csv,0.01699999,1
272439,-0.0011088583,-0.017135683,0.014401196,0.00017007183,0.0018018961,-0.006918387,0.261,0.26,0.261,0.26,0,26,1037,1,0.Stand/1037_A_1.csv,0.003000021,1
272440,0.011422096,-0.023709085,0.005862873,0.00456976,-0.0019697435,-0.005327049,0.271,0.27,0.271,0.27,0,27,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272441,-0.027767787,0.011462685,0.019430384,0.0010454007,0.0003019657,-0.005683199,0.28,0.281,0.28,0.281,0,28,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272442,0.008967449,-0.015037991,-0.023751875,-0.008249238,-0.016936742,-0.00870348,0.291,0.29,0.291,0.29,0,29,1037,1,0.Stand/1037_A_1.csv,0.011000007,1
272443,0.01691652,-0.06504379,-0.01043662,-0.0018767142,0.00036078846,-0.006759318,0.3,0.301,0.3,0.301,0,30,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272444,-0.020123286,-0.041129954,0.017147478,0.0038939668,0.008144974,-0.002909731,0.31,0.31,0.31,0.31,0,31,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272445,-0.016935904,0.020071331,0.030834664,0.0015181918,0.0020701792,0.0043051336,0.32,0.319,0.32,0.319,0,32,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272446,-0.01109852,-0.00887932,0.019251049,0.00046206158,0.0015367847,0.0033840055,0.33,0.33,0.33,0.33,0,33,1037,1,0.Stand/1037_A_1.csv,0.01000002,1
272447,0.004419904,-0.006688709,-0.011360648,0.0012283735,0.00791529,0.0007844221,0.339,0.34,0.339,0.34,0,34,1037,1,0.Stand/1037_A_1.csv,0.008999974,1
272448,0.0001866445,0.033533283,0.05765315,-0.000415787,-0.001712407,-0.00077832316,0.35,0.349,0.35,0.349,0,35,1037,1,0.Stand/1037_A_1.csv,0.011000007,1
272449,-0.035723582,0.016583007,-0.008027593,-0.011168908,-0.0039193314,-0.004358342,0.359,0.36,0.359,0.36,0,36,1037,1,0.Stand/1037_A_1.csv,0.009000003,1
272450,0.028078498,-0.04351697,0.021229116,-0.0037239757,-0.0024154887,-0.0033831543,0.371,0.372,0.371,0.372,0,37,1037,1,0.Stand/1037_A_1.csv,0.0119999945,1
272451,-0.022768375,-0.0075444113,0.009600349,0.004486149,-0.00016239687,0.00084421254,0.379,0.379,0.379,0.379,0,38,1037,1,0.Stand/1037_A_1.csv,0.008000016,1
272452,-0.009592907,0.03285189,0.0073074005,-0.005096305,-0.010437757,0.0051088333,0.389,0.389,0.389,0.389,0,39,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272453,0.01889185,0.04306887,0.0077685374,-0.010818838,-0.011840919,-0.000544373,0.399,0.399,0.399,0.399,0,40,1037,1,0.Stand/1037_A_1.csv,0.00999999,1
272454,-0.009087744,0.039528772,0.0018788351,-0.019176668,-0.0072047026,-0.00847876,0.412,0.411,0.412,0.411,0,41,1037,1,0.Stand/1037_A_1.csv,0.013000011,1
