level_0,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,accel-start-time,gyro-start-time,accel-end-time,gyro-end-time,activity code,index,user,serial,csv,timestamp diff,standard activity code
1694016,-0.5813812,-0.7915607,0.7659129,0.09275156,0.2578372,-0.06726752,0.013,0.015,0.013,0.015,11,1,1080,1,11.Walk/1080_L_1.csv,0.005,2
1694017,-2.0671859,-0.8119459,2.004552,0.2757594,0.2469706,-0.3692725,0.023,0.024,0.023,0.024,11,2,1080,1,11.Walk/1080_L_1.csv,0.01,2
1694018,3.6360285,1.0591179,0.9876291,-0.03264261,-0.20508677,-0.31036142,0.034,0.033,0.034,0.033,11,3,1080,1,11.Walk/1080_L_1.csv,0.011000002,2
1694019,6.239475,0.3998657,2.230862,-0.45093778,0.5812143,-0.20441844,0.042,0.041,0.042,0.041,11,4,1080,1,11.Walk/1080_L_1.csv,0.007999998,2
1694020,1.5407667,-2.2165866,1.2111139,-0.39752007,-0.22836679,0.00087742554,0.054,0.053,0.054,0.053,11,5,1080,1,11.Walk/1080_L_1.csv,0.012000002,2
1694021,1.1576633,-2.9633846,-4.271306,0.16017056,-0.6320202,0.07541404,0.062,0.061,0.062,0.061,11,6,1080,1,11.Walk/1080_L_1.csv,0.007999998,2
1694022,-2.4049292,1.8721328,-3.0983877,0.0124240015,0.3700905,-0.15996203,0.077,0.076,0.077,0.076,11,7,1080,1,11.Walk/1080_L_1.csv,0.015000001,2
1694023,1.7151691,2.5154657,-0.35380018,-0.5997446,0.088001184,-0.0784911,0.084,0.084,0.084,0.084,11,8,1080,1,11.Walk/1080_L_1.csv,0.0069999993,2
1694024,-2.271416,-1.1899915,-0.36313808,-0.44647476,0.32807374,-0.37114498,0.094,0.093,0.094,0.093,11,9,1080,1,11.Walk/1080_L_1.csv,0.009999998,2
1694025,-3.8434513,-1.2051872,0.16426553,-0.013243033,0.08597203,-0.3410325,0.103,0.104,0.103,0.104,11,10,1080,1,11.Walk/1080_L_1.csv,0.009000003,2
1694026,-1.4802449,0.5190535,0.8432184,0.37353352,0.14593622,-0.19008568,0.114,0.113,0.114,0.113,11,11,1080,1,11.Walk/1080_L_1.csv,0.011,2
1694027,-2.0198972,1.3591608,0.72859544,0.32097742,0.20311382,0.05560067,0.123,0.122,0.123,0.122,11,12,1080,1,11.Walk/1080_L_1.csv,0.009000003,2
1694028,-2.9381123,1.0447632,1.6583142,0.18612713,0.035906136,0.3349535,0.135,0.135,0.135,0.135,11,13,1080,1,11.Walk/1080_L_1.csv,0.012000002,2
1694029,3.4137676,1.6583991,-0.36150563,-0.22534609,-0.44481435,0.16238968,0.143,0.142,0.143,0.142,11,14,1080,1,11.Walk/1080_L_1.csv,0.008000001,2
1694030,4.3414216,-1.871189,2.2792394,0.10357187,0.7559711,0.08139307,0.154,0.153,0.154,0.153,11,15,1080,1,11.Walk/1080_L_1.csv,0.0109999925,2
1694031,3.189581,1.4094902,-0.15225782,0.3062201,0.0227676,-0.139291,0.164,0.165,0.164,0.165,11,16,1080,1,11.Walk/1080_L_1.csv,0.010000005,2
1694032,-1.5781345,0.5764511,-4.1315165,-0.047517013,-0.11905746,0.106680974,0.174,0.174,0.174,0.174,11,17,1080,1,11.Walk/1080_L_1.csv,0.00999999,2
1694033,0.9728993,-4.8291306,-1.3241618,0.9212601,-0.13642639,0.045066815,0.184,0.185,0.184,0.185,11,18,1080,1,11.Walk/1080_L_1.csv,0.010000005,2
1694034,2.9775786,2.3280015,-1.1921026,0.55112034,-0.01790287,-0.05103264,0.195,0.194,0.195,0.194,11,19,1080,1,11.Walk/1080_L_1.csv,0.0109999925,2
1694035,-5.6410656,1.0723407,-0.71269983,0.07874362,0.42493,0.5355737,0.204,0.205,0.204,0.205,11,20,1080,1,11.Walk/1080_L_1.csv,0.009000003,2
1694036,-3.9410567,-0.20548913,0.6133884,0.17025971,-0.1879356,0.27556595,0.215,0.215,0.215,0.215,11,21,1080,1,11.Walk/1080_L_1.csv,0.011000007,2
1694037,-1.4662825,-1.024371,0.26201445,-0.027542304,0.09308233,0.02125394,0.226,0.225,0.226,0.225,11,22,1080,1,11.Walk/1080_L_1.csv,0.0109999925,2
1694038,-1.6275626,-1.2457833,1.9810282,-0.17900701,0.28446975,-0.1574433,0.244,0.245,0.244,0.245,11,23,1080,1,11.Walk/1080_L_1.csv,0.018000007,2
1694039,1.4655902,-0.8799276,1.0208592,-0.15088078,-0.32568222,-0.32277128,0.246,0.245,0.246,0.245,11,24,1080,1,11.Walk/1080_L_1.csv,0.002000004,2
1694040,5.4314184,1.4001964,1.6044096,-0.14193237,0.37531832,-0.21614724,0.257,0.255,0.257,0.255,11,25,1080,1,11.Walk/1080_L_1.csv,0.0109999925,2
1694041,2.320276,-2.2565649,0.05729477,-0.35390028,0.17797464,0.24503367,0.265,0.266,0.265,0.266,11,26,1080,1,11.Walk/1080_L_1.csv,0.007999986,2
1694042,-0.24186881,-0.9028009,-4.6299806,0.1031174,-0.44060627,0.32456478,0.277,0.276,0.277,0.276,11,27,1080,1,11.Walk/1080_L_1.csv,0.012000024,2
1694043,0.85002965,2.2900329,-2.37429,-0.028884564,0.22909844,-0.0026380485,0.285,0.285,0.285,0.285,11,28,1080,1,11.Walk/1080_L_1.csv,0.007999986,2
1694044,3.225936,0.46960074,-0.4989177,-0.512276,0.08918405,-0.049425248,0.295,0.296,0.295,0.296,11,29,1080,1,11.Walk/1080_L_1.csv,0.00999999,2
1694045,-5.2900643,-1.449265,-0.051468045,-0.006205276,0.42418304,-0.4979911,0.306,0.305,0.306,0.305,11,30,1080,1,11.Walk/1080_L_1.csv,0.011000007,2
1694046,-4.7510304,-0.4509209,0.24509223,0.3228482,-0.32480964,-0.29819867,0.316,0.316,0.316,0.316,11,31,1080,1,11.Walk/1080_L_1.csv,0.01000002,2
1694047,-0.974378,1.9536958,0.0648136,0.3510836,0.004039823,-0.08708881,0.324,0.325,0.324,0.325,11,32,1080,1,11.Walk/1080_L_1.csv,0.007999986,2
1694048,-3.117678,1.2965643,1.4105699,0.24397352,0.2326853,0.21083696,0.337,0.336,0.337,0.336,11,33,1080,1,11.Walk/1080_L_1.csv,0.013000011,2
1694049,0.25800192,1.8686038,0.5900445,0.09582027,-0.55593896,0.3188646,0.349,0.351,0.349,0.351,11,34,1080,1,11.Walk/1080_L_1.csv,0.0119999945,2
