timestamp-accel,accel-x,accel-y,accel-z,timestamp-gyro,gyro-x,gyro-y,gyro-z,activity code,user,window,accel-timestamp-diff,standard activity code
1140276400000000.0,11.895920331728135,1.30141889682341,-1.4753251441566235,1140276500000000.0,1.1606029,0.8134649,-3.1060503,A,1638,1,0.0,2
1140276500000000.0,12.147353620574444,-1.1584702494820527,2.6599303971674297,1140276500000000.0,0.15914159,-0.3496033,-1.7919191,A,1638,1,134217730.0,2
1140276500000000.0,11.682331914737956,-1.306515106733078,2.971787871745106,1140276500000000.0,0.06479382,0.8660097,0.14043374,A,1638,1,0.0,2
1140276500000000.0,9.392293730535357,-2.184490707034879,1.4629636175902845,1140276600000000.0,0.5394538,1.8321486,1.6979004,A,1638,1,0.0,2
1140276600000000.0,6.776527065223854,-1.1333717397584935,-0.25108805846837745,1140276600000000.0,2.2328455,1.030783,2.079639,A,1638,1,134217730.0,2
1140276600000000.0,3.2587135514204304,1.1732044363561018,-1.2501852535835087,1140276800000000.0,1.8714979,1.1789492,3.0466988,A,1638,1,0.0,2
1140276800000000.0,1.669449691632023,1.9401852144580558,-0.997857846688383,1140276800000000.0,1.969196,0.8017171,2.2073624,A,1638,1,134217730.0,2
1140276800000000.0,0.8264017650786424,1.963492893208186,-1.4201432075130163,1140276800000000.0,2.662657,1.2086537,2.278318,A,1638,1,0.0,2
1140276800000000.0,0.8789790574527663,1.9759376057135905,-1.3077988519525456,1140276900000000.0,2.84812,0.5493847,1.064845,A,1638,1,0.0,2
1140276900000000.0,4.383328288703657,2.9904229712483965,-0.41508270257286667,1140276900000000.0,1.4070216,0.46822315,-0.17849916,A,1638,1,134217730.0,2
1140276900000000.0,6.850280709544944,3.7566750026588425,0.4694643352140212,1140276900000000.0,-2.2958748,0.3386351,0.21877138,A,1638,1,0.0,2
1140276900000000.0,4.168787745623565,3.715596228588642,0.025046020333131497,1140277000000000.0,-4.544635,-0.16044775,2.0964055,A,1638,1,0.0,2
1140277000000000.0,3.8103389045430904,1.0872325529284355,0.23448317207004604,1140277000000000.0,-1.5487382,-1.3751625,0.98111945,A,1638,1,134217730.0,2
1140277000000000.0,1.8554506775022572,0.34580825157672646,2.1090316808938585,1140277200000000.0,0.82781,-1.8047523,-0.53990686,A,1638,1,0.0,2
1140277200000000.0,1.5160239000596158,3.342714765462129,2.202308711114474,1140277200000000.0,-0.483048,-1.2670227,-1.1226027,A,1638,1,134217730.0,2
1140277200000000.0,2.2201158318580925,3.461756860156222,0.2793398548437077,1140277200000000.0,-1.6081679,-1.0408517,-1.4752227,A,1638,1,0.0,2
1140277200000000.0,-1.3985585360763322,0.731520414871105,1.4480270606779162,1140277300000000.0,-1.7603756,-1.343304,-1.4875942,A,1638,1,0.0,2
1140277300000000.0,-3.389191493771267,0.30706034380219216,0.7012919531454002,1140277300000000.0,-1.2371036,-0.6920502,-1.4114343,A,1638,1,134217730.0,2
1140277300000000.0,-3.8383485933042163,-0.00598912966048748,0.12823808022384353,1140277300000000.0,-0.6461021,-0.116877265,-1.5991274,A,1638,1,0.0,2
1140277300000000.0,-1.0796279363801475,0.2748541415952004,0.21975849041946016,1140277400000000.0,-0.7465554,-0.26483467,-1.9249275,A,1638,1,0.0,2
1140277400000000.0,2.6998503986527203,0.39236310642905736,0.1614707925781591,1140277400000000.0,-3.0923438,0.5168896,-1.8016114,A,1638,1,134217730.0,2
1140277400000000.0,3.8368912408863296,-0.9763029444982281,0.8114348924722898,1140277400000000.0,-2.1605322,-0.37817997,-1.2098029,A,1638,1,0.0,2
1140277400000000.0,3.5966684055301252,-6.7169339486727,2.6646565463542857,1140277600000000.0,1.0584224,-1.242124,-0.5052294,A,1638,1,0.0,2
1140277600000000.0,3.8236683950412313,-4.8585463393609825,2.515951328515605,1140277600000000.0,1.5525774,-0.46483538,0.32684374,A,1638,1,134217730.0,2
1140277600000000.0,2.6536155175976086,-2.5458201123973865,2.8408397903763323,1140277700000000.0,1.444298,0.40269345,0.3562668,A,1638,1,0.0,2
1140277700000000.0,1.0312713770393622,-1.5181730821652644,0.20507684430195217,1140277700000000.0,2.2393286,1.680623,0.49729156,A,1638,1,134217730.0,2
1140277700000000.0,-1.3098722538627738,1.8834033485446195,-1.0343377456766736,1140277700000000.0,2.5232222,1.8008064,1.1144743,A,1638,1,0.0,2
1140277700000000.0,-3.499353011630231,0.20324423619758464,0.9996243376620647,1140277800000000.0,1.6353192,1.3261739,0.8862651,A,1638,1,0.0,2
1140277800000000.0,-5.0297665286635285,0.150016890239403,1.1966468070231262,1140277800000000.0,2.263007,1.3624924,1.1139165,A,1638,1,134217730.0,2
1140277800000000.0,-4.286982053425354,0.5923753570086114,0.2523002840427393,1140277800000000.0,3.2380831,1.1145388,0.1028359,A,1638,1,0.0,2
1140277800000000.0,-2.8525387534139677,2.644425416432071,0.8165709204411811,1140278000000000.0,1.7052004,0.99740815,-0.34150258,A,1638,1,0.0,2
1140278000000000.0,-0.3156429313369522,3.1184697082044837,1.3410998736079938,1140278000000000.0,-1.6515124,0.07479874,-0.39063188,A,1638,1,134217730.0,2
1140278000000000.0,4.629796212782795,2.012632859437879,-0.49940342087254264,1140278100000000.0,-2.9016273,-0.54467607,0.53573513,A,1638,1,0.0,2
1140278100000000.0,3.7687281449359653,3.679349345640758,0.5571480010342706,1140278100000000.0,-4.9267216,-0.9068909,1.2997332,A,1638,1,134217730.0,2
1140278100000000.0,1.30350794618428,2.486178840213155,0.45236985706335564,1140278100000000.0,-4.2366776,-1.2409358,1.088294,A,1638,1,0.0,2
1140278100000000.0,-0.81567622665992,-1.0233526363674126,2.8461572909251958,1140278200000000.0,-0.81865555,-1.5924362,-0.59641826,A,1638,1,0.0,2
1140278200000000.0,-1.15450450709791,-2.3593492653843913,3.1756604316693586,1140278200000000.0,0.720052,-0.64218223,-0.6798769,A,1638,1,134217730.0,2
1140278200000000.0,-2.6734214657200464,1.7868713141655315,2.8609191680930426,1140278200000000.0,-0.99743867,-0.24804316,-0.2278108,A,1638,1,0.0,2
1140278200000000.0,-5.010280379167188,2.733449190785829,3.412715005527023,1140278400000000.0,-2.2257013,-0.39901987,-0.71989316,A,1638,1,0.0,2
1140278400000000.0,-3.6199879690332795,0.9316408193868807,3.212009853020102,1140278400000000.0,-2.8554811,-0.46176168,-1.4469576,A,1638,1,134217730.0,2
1140278400000000.0,1.680980391281655,2.212697412279744,4.740909989854865,1140278500000000.0,-8.008532,-0.38960946,0.51128966,A,1638,1,0.0,2
1140278500000000.0,4.640568166683952,7.01894944386801,2.1014135108737833,1140278500000000.0,-13.440605,2.1474519,6.563647,A,1638,1,134217730.0,2
1140278500000000.0,4.563818708625323,-5.192465571376727,-6.647642755811863,1140278500000000.0,-6.9812155,2.739748,6.9252033,A,1638,1,0.0,2
