level_0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,gyro-x,gyro-y,gyro-z,accel-x,accel-y,accel-z,activity code,index,user,serial,csv,standard activity code
0,-1.2438476,-0.7341765,0.80678004,-0.4911024,0.62870014,-0.34237474,0.25912505,-0.86965257,1.1419734,-3.3115494642945693,-2.458404653417976,-2.5070603645332312,0,0,5,1,dws_1/sub_5.csv,4
1,-0.6975218,-0.5219292,1.6119993,-0.63916755,0.5111732,-0.6447925,-0.10474018,-0.00765419,1.8317084,-5.417055963220497,-4.044710382783817,-4.550077054369122,0,1,5,1,dws_1/sub_5.csv,4
2,-0.8421563,-0.6476311,1.4184248,-0.5591681,0.59817064,-0.5419012,-0.33568648,-0.32790086,0.17261383,-4.47484064345645,-3.3268231008526663,-2.145954524148797,0,2,5,1,dws_1/sub_5.csv,4
3,-0.80457425,-0.6167995,1.5412128,-0.6103471,0.581791,-0.55882186,0.13528137,-1.3082081,0.5316427,-2.027860419895066,-1.5623300445605903,-3.257856747275916,0,3,5,1,dws_1/sub_5.csv,4
4,-0.89096963,-0.65253806,1.5257788,-0.60495555,0.6051501,-0.5039458,0.9256387,-1.4749789,0.7368397,-3.153742929517369,-1.38571519180773,-1.361510898833629,0,4,5,1,dws_1/sub_5.csv,4
5,-0.8912356,-0.6246883,1.6561341,-0.64033675,0.5865544,-0.50666434,1.4419861,-1.6125185,0.54166967,-4.72007298243879,-0.7303769859854117,-3.2826137556502624,0,5,5,1,dws_1/sub_5.csv,4
6,-0.8937273,-0.5590494,1.7325766,-0.6538921,0.5288724,-0.5328784,2.93915,-0.29885083,-0.68960077,-2.777052998608782,-4.414250516730899,-3.7312148043768176,0,6,5,1,dws_1/sub_5.csv,4
7,-0.8909247,-0.48070216,1.8181739,-0.6951024,0.46383086,-0.55617386,0.06468873,-1.7309489,0.5188907,1.5231271255714458,-6.469585667115596,0.3598676124536563,0,7,5,1,dws_1/sub_5.csv,4
8,-1.0051277,-0.6035762,1.792625,-0.6929675,0.56688344,-0.44205076,-1.8536775,-1.3214084,2.2973464,-4.68473915915327,-4.184667135327151,-4.39795031044878,0,8,5,1,dws_1/sub_5.csv,4
9,-1.0006181,-0.6899437,1.8042073,-0.65061355,0.6369418,-0.41578853,-0.46824118,0.32519466,0.94466794,-1.9639746062087027,0.5798956846797984,-1.649850371438984,0,9,5,1,dws_1/sub_5.csv,4
10,-1.0561564,-0.7683661,1.7664008,-0.6249772,0.6946521,-0.35416937,-1.8080368,-1.1387367,1.2938279,-0.8346872512794117,3.882763658074756,0.5756236886260507,0,10,5,1,dws_1/sub_5.csv,4
11,-1.1164873,-0.85283077,1.7243309,-0.5919273,0.75347626,-0.28844863,-0.55256057,-0.07153082,0.9297997,-1.579253338772644,-0.6825849173163732,2.5007326603097932,0,11,5,1,dws_1/sub_5.csv,4
12,-1.1246654,-0.8843787,1.7386189,-0.57121664,0.77328974,-0.27356958,0.06320634,-0.87240005,0.5522116,-1.0843094546959793,0.6351040454737225,-0.3073404885300589,0,12,5,1,dws_1/sub_5.csv,4
13,-1.1345007,-0.9054518,1.7750177,-0.5599175,0.7869206,-0.2608778,0.40773284,-0.29969248,0.5768034,-1.6611378915847002,-0.8298998372996678,0.3012396922587704,0,13,5,1,dws_1/sub_5.csv,4
14,-1.0920191,-0.92577446,1.8181484,-0.53337014,0.79891986,-0.27689087,0.1083596,0.3256721,0.628043,-0.508358091023924,-0.518520399594958,0.2615520136767613,0,14,5,1,dws_1/sub_5.csv,4
15,-1.0413141,-0.95130396,1.8530087,-0.5012892,0.81434745,-0.29342222,0.29489374,0.62877417,0.73340964,0.1919788992556506,0.43003907127222857,-0.13141264581369932,0,15,5,1,dws_1/sub_5.csv,4
16,-0.9428233,-0.9713379,1.9281759,-0.45648187,0.825511,-0.3313135,0.43125293,0.6505213,0.6726092,0.8642959151430641,-0.9634421366751301,-0.47670254328991724,0,16,5,1,dws_1/sub_5.csv,4
17,-0.8790915,-0.98150104,1.9854391,-0.42813414,0.83151394,-0.35462248,0.2257882,0.12185988,0.4828297,-2.915445465443796,-1.4987125428142443,-0.3769749790456896,0,17,5,1,dws_1/sub_5.csv,4
18,-0.8326651,-1.0088068,2.038311,-0.39408985,0.84605086,-0.35854262,-0.14297645,-0.008873403,0.88479894,-0.5623684236213876,-2.13488922939469,-1.501750043224884,0,18,5,1,dws_1/sub_5.csv,4
19,-0.8726692,-1.0521364,2.0007265,-0.37981328,0.86867476,-0.3185284,-1.5593104,-0.24571446,0.008158386,0.44628529082196117,-0.7423637548694723,-1.3125451855000032,0,19,5,1,dws_1/sub_5.csv,4
20,-1.0059204,-1.1077372,1.8556347,-0.3773967,0.8946038,-0.2392173,-1.4712138,0.17275548,0.14400798,1.0961857644793802,6.422467203524757,3.904813286521035,0,20,5,1,dws_1/sub_5.csv,4
21,-1.0332506,-1.1139569,1.8055794,-0.3786363,0.8974649,-0.22601749,0.30903998,0.25092345,-0.24475056,0.038750881346063124,0.3084634700407117,0.8778194056446642,0,21,5,1,dws_1/sub_5.csv,4
22,-0.9849187,-1.1025387,1.8688827,-0.37629664,0.8923626,-0.24936683,0.49309605,-0.52422047,0.56298345,0.3109137580086549,-1.7261352369340752,-1.0615007451919105,0,22,5,1,dws_1/sub_5.csv,4
23,-0.95481324,-1.1062587,1.9224136,-0.36547202,0.8940361,-0.259068,0.30496755,-0.19586495,0.12332555,-0.5067100353674572,1.5550338929800753,0.6260966175505797,0,23,5,1,dws_1/sub_5.csv,4
24,-0.93857944,-1.1099457,1.952476,-0.35885638,0.8956878,-0.262623,-0.0057153804,-0.2160039,0.32496682,0.8337419826304748,0.3551824394471556,-0.10745325361453323,0,24,5,1,dws_1/sub_5.csv,4
25,-0.9462062,-1.1166742,1.9478145,-0.35580707,0.8986263,-0.25675815,-0.07154743,0.07013148,-0.08846398,0.02742709346486229,-0.3818673601281697,0.397847690395737,0,25,5,1,dws_1/sub_5.csv,4
